date,ticker,open,high,low,close,volume
2021-01-04,AAPL,152.83,153.3,151.2,151.62,52920847.0
2021-01-05,AAPL,151.02,151.98,150.98,151.32,97352009.0
2021-01-06,AAPL,152.66,153.89,152.15,153.42,32576091.0
2021-01-07,AAPL,158.24,158.9,155.84,158.29,75330640.0
2021-01-08,AAPL,159.14,159.55,157.39,157.67,63126493.0
2021-01-11,AAPL,156.61,157.82,156.38,157.06,79731528.0
2021-01-12,AAPL,163.19,163.93,161.11,162.23,29867307.0
2021-01-13,AAPL,165.87,167.05,164.49,164.87,103752366.0
2021-01-14,AAPL,163.14,164.16,162.94,163.46,50100172.0
2021-01-15,AAPL,165.72,166.07,163.64,165.38,68563201.0
2021-01-18,AAPL,164.95,166.01,162.44,163.99,85135870.0
2021-01-19,AAPL,162.37,162.62,161.92,162.6,40908038.0
2021-01-20,AAPL,163.4,164.38,163.25,163.51,71780836.0
2021-01-21,AAPL,157.17,157.66,157.1,157.5,37307745.0
2021-01-22,AAPL,151.73,152.96,151.32,152.28,84110095.0
2021-01-25,AAPL,150.35,151.31,150.17,150.7,37551400.0
2021-01-26,AAPL,147.15,147.92,146.48,147.8,54789881.0
2021-01-27,AAPL,148.87,149.57,147.84,148.85,60565924.0
2021-01-28,AAPL,145.88,146.56,145.34,146.29,70886705.0
2021-01-29,AAPL,142.45,144.06,141.79,142.33,96445387.0
2021-02-01,AAPL,145.85,146.86,145.15,146.68,44203690.0
2021-02-02,AAPL,146.31,146.31,145.35,146.13,78536655.0
2021-02-03,AAPL,146.89,147.61,145.89,146.45,96483851.0
2021-02-04,AAPL,141.42,143.01,141.21,142.45,57535873.0
2021-02-05,AAPL,141.21,142.0,140.32,141.02,42084972.0
2021-02-08,AAPL,142.07,143.44,141.41,141.44,16618571.0
2021-02-09,AAPL,137.73,138.97,137.36,138.34,94606460.0
2021-02-10,AAPL,140.33,140.98,139.06,139.49,48682800.0
2021-02-11,AAPL,138.14,138.92,137.77,137.93,32345938.0
2021-02-12,AAPL,134.04,135.05,133.88,134.38,73923717.0
2021-02-15,AAPL,132.85,133.04,132.26,132.88,32305886.0
2021-02-16,AAPL,138.28,138.5,137.86,138.01,73809231.0
2021-02-17,AAPL,138.12,139.78,136.8,138.08,76791278.0
